# AlloCiné ID,IMDb ID,BetaSeries ID,SensCritique ID
18211,tt3975368,teachers-2016,Teachers_2016/17460945
18215,tt1399664,the-night-manager,The_Night_Manager/17664094
18218,tt3747572,grantchester,Grantchester/15929179
18227,tt2788432,american-crime-story,American_Crime_Story/15928057
18234,tt4964074,alex-hugo,Alex_Hugo/17280545
18240,tt5232792,lost-in-space-2018,Perdus_dans_l_espace/30701115
18245,tt4145054,shadowhunters,Shadowhunters/15880808
18255,tt4118466,incorporated,Incorporated/23373276
18272,tt4159076,dark-matter,Dark_Matter/15825430
18280,tt4333474,trepalium,Trepalium/18569188
18291,tt4131818,the-hot-zone,The_Hot_Zone/12666747
18307,tt4132692,between,Between/15825432
18308,tt4145384,scream-queens-2015,Scream_Queens/16252681
18314,tt3526078,schitts-creek,Bienvenue_a_Schitt_s_Creek/17803228
18319,tt4326894,f-is-for-family,F_is_for_Family/17508810
18331,tt4378456,the-frankenstein-code,Frankenstein_Code/15457349
18338,tt4168956,wrecked-2016,Wrecked_Les_Rescapes/20800046
18339,tt1064899,queen-of-the-south,Reine_du_Sud/19331887
18348,tt3557112,les-beaux-malaises,Les_beaux_malaises/18135424
18351,tt4276624,krypton,Krypton/25471892
18370,tt4577466,casual,Casual/16946443
18384,tt4422836,limitless,Limitless/16035905
18416,tt4834206,a-series-of-unfortunate-events,Les_Desastreuses_Aventures_des_Orphelins_Baudelaire/19168360
18437,tt4189022,ash-vs-evil-dead,Ash_vs_Evil_Dead/16169056
18438,tt0804484,foundation-2020,Fondation/12765119
18446,tt5011816,sneaky-pete,Sneaky_Pete/24367321
18468,tt5531470,frequency,Frequency/21276363
18497,tt4206804,the-frankenstein-chronicles,The_Frankenstein_Chronicles/17943858
18518,tt4136774,el-ministerio-del-tiempo,El_Ministerio_del_Tiempo/19366820
18529,tt4179452,the-last-kingdom,The_Last_Kingdom/16636626
18534,tt4785472,deep-state,Deep_State/29430082
18542,tt3920596,big-little-lies,Big_Little_Lies/21097041
18543,tt5420376,riverdale,Riverdale/21289542
18589,tt4671682,ties-that-bind,Ties_That_Bind/16059885
18615,tt1043813,titans-2018,Titans/31516633
18644,tt4288182,atlanta,Atlanta/12921307
18646,tt1910272,steinsgate,Steins_Gate/381693
18649,tt6398232,on-becoming-a-god-in-central-florida,On_Becoming_a_God_in_Central_Florida/24343659
18650,tt3598030,kc-undercover,Agent_K_C/21791973
18654,tt3848126,banana-2015,Banana/13025513
18672,tt4579480,le-mystere-du-lac,Le_mystere_du_lac/17208139
18674,tt4374208,catastrophe-2015,Catastrophe/16408165
18684,tt1753353,1864,1864/15875075
18705,tt0489974,carnival-row,Carnival_Row/13061703
18715,tt5085178,sam-2016,Sam/20177590
18716,tt4354616,crisis-in-six-scenes,Crisis_in_Six_Scenes/13084074
18717,tt4354880,mr-mercedes,Mr_Mercedes/25193347
18729,tt4477976,superstore,Superstore/17416104
18747,tt4364202,criminal-minds-beyond-borders,Esprits_criminels_Unite_sans_frontieres/16985355
18749,tt2585808,la-patrona,La_Patrona/13332963
18751,tt4370596,better-things,Better_Things/21775811
18752,tt4370528,the-five,The_Five/19991493
18755,tt8332438,zerozerozero,Zero_Zero_Zero/35608534
18765,tt4973548,flaked,Flaked/19155051
18772,tt4465472,rosewood,Rosewood/17218315
18776,tt2983290,1992,1992_1993_1994/17597777
18781,tt4445154,deutschland-83,Deutschland_83/16035962
18782,tt4447390,doubt,Doubt/22417769
18783,tt3602528,kfulim,False_Flag/18072402
